job_id,job_title,company_size,company_industry,country,remote_type,experience_level,years_experience,education_level,skills_python,skills_sql,skills_ml,skills_deep_learning,skills_cloud,salary,job_posting_month,job_posting_year,hiring_urgency,job_openings
1380,Machine Learning Engineer,Enterprise,Technology,Canada,Hybrid,Entry,4,Master,0,1,1,1,1,120000,3,2026,High,2
11591,Data Scientist,Startup,Education,Australia,Remote,Entry,4,Master,1,1,0,1,0,70000,12,2022,High,1
6145,Data Analyst,Startup,Finance,UK,Onsite,Entry,4,Bachelor,1,1,1,1,1,70000,3,2025,Medium,2
1273,Data Engineer,Medium,Education,Australia,Onsite,Entry,4,Master,1,0,1,1,1,71794,12,2025,Medium,1
6315,Data Scientist,Startup,E-commerce,India,Remote,Entry,4,Bachelor,1,0,0,1,1,70000,12,2021,Low,4
0,Data Scientist,Startup,Healthcare,UK,Hybrid,Entry,4,Bachelor,1,1,1,0,1,70000,1,2026,Medium,1
3350,Data Scientist,Medium,Technology,USA,Onsite,Entry,4,Bachelor,1,1,1,0,1,70000,1,2026,High,1
400,Business Analyst,Enterprise,Education,Singapore,Remote,Entry,4,Master,1,1,1,1,0,70000,8,2022,Medium,4
1256,Data Engineer,Medium,Education,UK,Onsite,Entry,4,Master,1,0,1,1,0,70000,12,2024,Low,4
8697,Business Analyst,Enterprise,Technology,USA,Remote,Entry,4,Master,0,1,0,0,0,70000,4,2021,Medium,3
5157,Data Engineer,Startup,Retail,Germany,Hybrid,Entry,4,Master,0,0,0,1,1,70000,10,2024,Medium,1
0,Business Analyst,MNC,Education,UK,Hybrid,Entry,4,Master,0,1,0,0,1,70000,7,2023,High,2
7678,Data Analyst,Startup,Technology,Canada,Hybrid,Entry,4,Master,1,1,1,1,1,70000,6,2022,High,1
3882,Data Analyst,Startup,Healthcare,India,Remote,Entry,4,Master,1,1,1,1,1,70000,9,2023,Low,1
8995,Business Analyst,Startup,Healthcare,Canada,Remote,Entry,4,Bachelor,1,1,1,0,0,70000,1,2020,High,4
320,Data Scientist,MNC,Technology,Singapore,Remote,Entry,4,Bachelor,1,1,1,1,1,86079,11,2021,Low,4
