job_id,job_title,company_size,company_industry,country,remote_type,experience_level,years_experience,education_level,skills_python,skills_sql,skills_ml,skills_deep_learning,skills_cloud,salary,job_posting_month,job_posting_year,hiring_urgency,job_openings
0,Machine Learning Engineer,Enterprise,Finance,Canada,Onsite,Senior,12,PhD,1,1,0,0,0,139715,12,2020,Medium,2
1,Data Engineer,MNC,Retail,Australia,Hybrid,Senior,6,Master,1,1,1,0,1,149778,12,2022,Low,1
2,Data Scientist,Medium,Retail,India,Onsite,Senior,5,Bachelor,0,0,0,0,1,114691,6,2021,High,7
3,Business Analyst,Medium,E-commerce,USA,Onsite,Senior,10,Master,0,0,0,0,0,97989,9,2026,High,7
4,Data Analyst,Startup,Finance,Australia,Onsite,Entry,3,Master,0,0,1,1,0,80678,8,2023,High,5
5,Data Analyst,Startup,Education,Australia,Hybrid,Entry,7,PhD,1,0,1,0,1,71758,7,2020,Low,3
6,Data Analyst,Medium,Technology,India,Onsite,Entry,12,Master,1,0,0,1,1,79746,6,2020,Medium,4
7,Data Analyst,Enterprise,Retail,Australia,Onsite,Entry,11,PhD,0,0,0,0,1,63639,9,2026,Medium,5
8,Business Analyst,Startup,Technology,Singapore,Hybrid,Entry,14,PhD,1,1,1,0,1,73061,9,2022,Medium,2
9,Data Scientist,Enterprise,Retail,Canada,Remote,Mid,11,Bachelor,1,0,1,0,0,89001,6,2026,Medium,4
10,Data Analyst,Medium,Retail,USA,Hybrid,Senior,4,PhD,0,1,1,1,1,139690,11,2022,High,3
11,Business Analyst,Startup,Retail,UK,Onsite,Senior,7,PhD,1,1,0,1,1,122884,4,2022,Low,6
12,Data Scientist,MNC,Education,Singapore,Hybrid,Mid,13,Master,1,0,0,1,0,108174,5,2026,Medium,1
13,AI Engineer,MNC,Finance,USA,Hybrid,Mid,0,Master,0,1,0,0,0,130819,3,2021,High,7
14,Machine Learning Engineer,Medium,Technology,Singapore,Hybrid,Mid,10,Bachelor,0,1,0,0,0,119491,11,2022,High,8
15,AI Engineer,Medium,Healthcare,Canada,Onsite,Senior,0,Bachelor,0,1,1,0,1,164677,12,2025,Low,6
16,Business Analyst,Medium,Finance,Singapore,Onsite,Senior,8,Master,1,0,1,0,1,122389,11,2020,Medium,6
17,Business Analyst,Startup,Retail,Singapore,Remote,Entry,12,PhD,1,1,1,1,0,79735,7,2024,High,2
18,Data Analyst,Enterprise,Healthcare,Singapore,Hybrid,Senior,9,Bachelor,0,1,0,0,0,99920,5,2025,High,9
19,Machine Learning Engineer,Enterprise,Technology,Australia,Remote,Mid,9,Bachelor,0,0,0,0,1,127746,2,2024,Medium,5
20,Business Analyst,Startup,Technology,Canada,Remote,Entry,1,Bachelor,1,0,1,0,0,65657,10,2026,High,9
21,AI Engineer,Startup,E-commerce,India,Onsite,Entry,7,PhD,1,0,1,1,1,126221,10,2020,High,8
22,Data Analyst,MNC,Healthcare,India,Hybrid,Mid,12,Master,1,0,0,1,1,118648,12,2020,High,7
23,AI Engineer,MNC,Technology,Singapore,Remote,Mid,1,Bachelor,0,0,0,1,1,155891,5,2021,Low,3
24,Business Analyst,Startup,Healthcare,USA,Hybrid,Entry,12,PhD,0,0,0,0,1,57746,6,2026,Medium,2
25,Business Analyst,MNC,Finance,Australia,Hybrid,Mid,2,PhD,0,1,1,0,0,113007,10,2022,Low,5
26,Data Scientist,Enterprise,Healthcare,USA,Onsite,Entry,10,Bachelor,1,1,1,0,0,62959,9,2022,High,7
27,Data Engineer,Startup,Education,Australia,Onsite,Senior,12,Master,0,0,1,1,1,135590,12,2026,High,8
28,AI Engineer,Enterprise,Technology,UK,Hybrid,Mid,8,Master,1,0,1,1,1,152803,6,2026,High,9
29,AI Engineer,Medium,Education,India,Onsite,Entry,6,PhD,1,0,1,1,0,117773,11,2021,High,9
30,Data Analyst,Enterprise,Technology,Canada,Hybrid,Mid,2,Bachelor,0,1,1,1,0,102199,5,2023,High,5
31,Data Analyst,Medium,Technology,Australia,Hybrid,Senior,3,Master,1,1,1,0,0,117226,6,2025,High,8
32,AI Engineer,Enterprise,Technology,USA,Onsite,Senior,6,PhD,0,0,1,0,1,169634,6,2021,High,9
33,Business Analyst,MNC,Finance,USA,Remote,Senior,10,Master,1,1,0,1,1,140452,1,2024,High,7
34,Machine Learning Engineer,Startup,Technology,USA,Onsite,Mid,3,Master,1,0,1,0,1,137115,3,2023,Low,5
35,AI Engineer,Enterprise,E-commerce,Singapore,Remote,Entry,4,PhD,1,0,1,0,1,116577,11,2020,Low,5
36,AI Engineer,Medium,Healthcare,Canada,Remote,Senior,6,Master,0,0,1,1,0,167042,6,2025,High,7
37,Machine Learning Engineer,Startup,Technology,UK,Onsite,Entry,9,Master,1,0,0,1,1,118875,7,2022,High,9
38,Business Analyst,Medium,Technology,Singapore,Remote,Senior,4,PhD,0,0,0,0,1,105096,7,2021,Low,4
39,Machine Learning Engineer,Startup,E-commerce,Singapore,Hybrid,Entry,7,Master,0,0,0,1,1,114662,11,2020,Low,3
40,Data Scientist,Enterprise,Healthcare,USA,Hybrid,Entry,4,PhD,0,0,0,0,1,57176,11,2026,High,7
41,Data Scientist,Medium,Technology,India,Hybrid,Senior,4,Bachelor,1,0,1,0,0,110106,12,2021,High,8
42,Data Analyst,Medium,Finance,India,Remote,Entry,3,Bachelor,0,1,0,1,1,72851,6,2024,Low,2
43,Machine Learning Engineer,Enterprise,Finance,Canada,Onsite,Senior,12,PhD,1,1,0,0,0,139715,12,2020,Medium,2
44,Data Scientist,Startup,Finance,India,Remote,Entry,12,Bachelor,1,0,0,1,0,69949,4,2020,Medium,2
45,Data Scientist,MNC,Finance,India,Hybrid,Mid,0,Bachelor,1,1,0,0,0,96877,11,2024,Low,6
46,Data Scientist,Enterprise,E-commerce,UK,Remote,Senior,11,PhD,0,0,1,1,0,125990,3,2024,High,1
47,Data Analyst,Enterprise,Retail,Germany,Onsite,Entry,13,Bachelor,1,1,0,1,1,73550,11,2025,Medium,3
48,Business Analyst,Medium,Retail,Canada,Onsite,Senior,2,Master,1,1,1,0,1,128832,12,2024,Low,5
49,Data Analyst,Enterprise,Technology,UK,Onsite,Senior,11,Master,1,0,1,0,1,129708,1,2023,Medium,6
50,AI Engineer,MNC,Finance,UK,Hybrid,Senior,4,PhD,1,1,1,1,0,190634,12,2020,High,1
51,Data Engineer,Enterprise,Retail,UK,Onsite,Entry,9,PhD,1,0,1,0,1,79691,10,2021,Medium,6
52,Data Engineer,Medium,E-commerce,UK,Onsite,Entry,2,Master,0,1,0,1,1,75886,1,2023,Low,1
53,Machine Learning Engineer,Startup,Healthcare,Singapore,Remote,Mid,8,PhD,0,0,0,0,0,114836,6,2026,High,9
54,Data Engineer,Enterprise,Technology,Germany,Remote,Senior,3,PhD,1,1,0,0,0,96604,2,2024,High,9
55,Data Analyst,Medium,Education,Singapore,Hybrid,Entry,4,Bachelor,1,0,0,0,1,62963,5,2020,Low,4
